release_date,spawning_year,release_month,n_particles,n_M6,n_M6_north_1979-2015,n_M6_north_2016-2025,n_M6_north_envelope
2001-12-06,2002,12,545807,266765,192754,197589,192637
2001-12-07,2002,12,545807,255617,193129,197961,193030
2001-12-08,2002,12,545807,252623,192783,197708,192702
2001-12-09,2002,12,545807,251314,192975,197861,192884
2001-12-10,2002,12,545807,250208,192380,197297,192261
2001-12-11,2002,12,545807,249645,192514,197386,192399
2001-12-12,2002,12,545807,250206,192621,197528,192500
2001-12-13,2002,12,545807,250179,192819,197851,192714
2001-12-14,2002,12,545807,249823,192628,197732,192529
2001-12-15,2002,12,545807,249407,192837,197818,192722
2001-12-16,2002,12,545807,248832,192740,197834,192621
2001-12-17,2002,12,545807,248318,192396,197278,192296
2001-12-18,2002,12,545807,247719,192431,197388,192313
2001-12-19,2002,12,545807,245744,192302,197242,192207
2001-12-20,2002,12,545807,245111,192462,197323,192386
2001-12-21,2002,12,545807,243817,192223,197076,192130
2001-12-22,2002,12,545807,243505,191784,196734,191709
2001-12-23,2002,12,545807,243271,191984,196908,191904
2001-12-24,2002,12,545807,243481,192121,196773,192039
2001-12-25,2002,12,545807,243034,191508,196437,191436
2001-12-26,2002,12,545807,242221,191527,196285,191443
2001-12-27,2002,12,545807,239907,191059,195803,190974
2001-12-28,2002,12,545807,238883,191105,195996,191041
2001-12-29,2002,12,545807,238439,191161,195916,191091
2001-12-30,2002,12,545807,237900,191475,196150,191404
2001-12-31,2002,12,545807,237714,191563,196238,191473
2002-01-01,2002,1,545807,237522,191587,196196,191511
2002-01-02,2002,1,545807,235259,191189,195510,191101
2002-01-03,2002,1,545807,226013,190531,194246,190465
2002-01-04,2002,1,545807,223851,190238,193896,190160
2002-01-05,2002,1,545807,222440,190020,193767,189939
2002-01-06,2002,1,545807,222015,190527,194317,190450
2002-01-07,2002,1,545807,221727,190508,194159,190401
2002-01-08,2002,1,545807,221631,190884,194465,190791
2002-01-09,2002,1,545807,220252,190764,194375,190668
2002-01-10,2002,1,545807,216084,190865,194479,190789
2002-01-11,2002,1,545807,210488,191296,194759,191204
2002-01-12,2002,1,545807,209042,191355,194753,191276
2002-01-13,2002,1,545807,208327,191223,194593,191142
2002-01-14,2002,1,545807,207829,191521,194749,191434
2002-01-15,2002,1,545807,207578,191316,194546,191230
2002-01-16,2002,1,545807,206701,190927,193968,190854
2002-01-17,2002,1,545807,206721,191067,194169,190985
2002-01-18,2002,1,545807,206490,191171,194144,191106
2002-01-19,2002,1,545807,206062,191105,194094,191019
2002-01-20,2002,1,545807,205581,190729,193624,190662
2002-01-21,2002,1,545807,205214,190979,193862,190904
2002-01-22,2002,1,545807,204555,191241,194110,191172
2002-01-23,2002,1,545807,202917,191131,193957,191046
2002-01-24,2002,1,545807,201855,191480,194190,191398
2002-01-25,2002,1,545807,201744,191182,193994,191099
2002-01-26,2002,1,545807,201817,191417,194183,191337
2002-01-27,2002,1,545807,201816,191702,194392,191621
2002-01-28,2002,1,545807,201862,191644,194320,191565
2002-01-29,2002,1,545807,201145,191341,193863,191257
2002-01-30,2002,1,545807,201073,191294,193816,191209
2002-01-31,2002,1,545807,201487,191836,194394,191746
2002-02-01,2002,2,545807,201338,191797,194289,191712
2002-02-02,2002,2,545807,201609,191943,194381,191854
2002-02-03,2002,2,545807,201953,192408,194837,192320
2002-02-04,2002,2,545807,201811,192526,194982,192434
2002-02-05,2002,2,545807,201685,192568,194884,192485
2002-02-06,2002,2,545807,201606,192392,194787,192326
2002-02-07,2002,2,545807,201463,192352,194636,192277
2002-02-08,2002,2,545807,200854,192232,194493,192154
2002-02-09,2002,2,545807,200595,191797,194106,191709
2002-02-10,2002,2,545807,200410,191880,194128,191808
2002-02-11,2002,2,545807,199936,191849,194010,191762
2002-02-12,2002,2,545807,198836,191381,193607,191304
2002-02-13,2002,2,545807,197057,191371,193363,191311
2002-02-14,2002,2,545807,195813,191253,193202,191197
2002-02-15,2002,2,545807,195453,191095,192921,191002
2002-02-16,2002,2,545807,195123,191033,192867,190953
2002-02-17,2002,2,545807,194965,190986,192735,190920
2002-02-18,2002,2,545807,194332,190549,192307,190467
2002-02-19,2002,2,545807,193007,189636,191388,189571
2002-02-20,2002,2,545807,192392,189196,190837,189122
2002-02-21,2002,2,545807,192413,189307,190947,189235
2002-02-22,2002,2,545807,192264,189228,190764,189164
2002-02-23,2002,2,545807,191939,188759,190325,188687
2002-02-24,2002,2,545807,191751,188528,190103,188453
2002-02-25,2002,2,545807,191346,188129,189632,188066
2002-02-26,2002,2,545807,190828,187691,189126,187616
2002-02-27,2002,2,545807,190388,187565,188914,187485
2002-02-28,2002,2,545807,189932,187367,188648,187295
2002-03-01,2002,3,545807,189759,187337,188496,187246
2002-03-02,2002,3,545807,189221,186925,188067,186831
2002-03-03,2002,3,545807,188915,186936,187911,186831
2002-03-04,2002,3,545807,188581,186588,187653,186516
2002-03-05,2002,3,545807,188308,186355,187326,186274
2002-03-06,2002,3,545807,187751,185902,186810,185829
2002-03-07,2002,3,545807,187731,185851,186724,185756
2002-03-08,2002,3,545807,187472,185691,186604,185640
2002-03-09,2002,3,545807,187040,185407,186205,185334
2002-03-10,2002,3,545807,186690,185073,185867,185000
2002-03-11,2002,3,545807,185956,184294,185105,184211
2002-03-12,2002,3,545807,185217,183510,184336,183447
2002-03-13,2002,3,545807,184545,182797,183681,182722
2002-03-14,2002,3,545807,183680,181793,182722,181704
2002-11-15,2003,11,545807,211214,192281,199687,192223
2002-11-16,2003,11,545807,210637,192303,199257,192254
2002-11-17,2003,11,545807,209405,191976,198531,191927
2002-11-18,2003,11,545807,208009,191265,197211,191205
2002-11-19,2003,11,545807,208460,191747,197809,191690
2002-11-20,2003,11,545807,208866,192084,198151,192020
2002-11-21,2003,11,545807,209208,192373,198589,192311
2002-11-22,2003,11,545807,208333,191932,198175,191877
2002-11-23,2003,11,545807,207850,191683,197851,191631
2002-11-24,2003,11,545807,208493,192571,198627,192507
2002-11-25,2003,11,545807,207533,192114,197813,192036
2002-11-26,2003,11,545807,206752,192239,197403,192182
2002-11-27,2003,11,545807,206000,192025,196803,191953
2002-11-28,2003,11,545807,205831,192813,197342,192730
2002-11-29,2003,11,545807,206597,194078,198599,193999
2002-11-30,2003,11,545807,207009,194624,199083,194572
2002-12-01,2003,12,545807,207628,195006,199460,194941
2002-12-02,2003,12,545807,208419,196151,200621,196094
2002-12-03,2003,12,545807,207568,196051,200322,196005
2002-12-04,2003,12,545807,205470,196095,199818,196045
2002-12-05,2003,12,545807,203568,195474,198493,195413
2002-12-06,2003,12,545807,202850,195083,198109,195011
2002-12-07,2003,12,545807,203022,195401,198451,195329
2002-12-08,2003,12,545807,203229,195399,198592,195307
2002-12-09,2003,12,545807,202770,194886,198203,194796
2002-12-10,2003,12,545807,202455,194757,198109,194660
2002-12-11,2003,12,545807,202380,194351,197890,194258
2002-12-12,2003,12,545807,202087,194133,197606,194050
2002-12-13,2003,12,545807,201508,193604,197077,193529
2002-12-14,2003,12,545807,200765,193117,196622,193037
2002-12-15,2003,12,545807,200279,192862,196331,192776
2002-12-16,2003,12,545807,199805,192546,196043,192482
2002-12-17,2003,12,545807,200724,192969,196495,192897
2002-12-18,2003,12,545807,201041,193037,196523,192969
2002-12-19,2003,12,545807,200818,192705,196194,192627
2002-12-20,2003,12,545807,200624,192563,195956,192471
2002-12-21,2003,12,545807,200017,191859,195318,191794
2002-12-22,2003,12,545807,199584,191735,195082,191647
2002-12-23,2003,12,545807,199108,191250,194650,191172
2002-12-24,2003,12,545807,199012,191079,194438,191013
2002-12-25,2003,12,545807,198444,190685,193870,190605
2002-12-26,2003,12,545807,198118,190336,193586,190270
2002-12-27,2003,12,545807,197771,190221,193290,190154
2002-12-28,2003,12,545807,197458,190587,193443,190531
2002-12-29,2003,12,545807,197029,190492,193187,190435
2002-12-30,2003,12,545807,196561,190396,193121,190357
2002-12-31,2003,12,545807,196120,190138,192863,190137
2003-01-01,2003,1,545807,196118,189876,192746,189876
2003-01-02,2003,1,545807,195779,189806,192783,189806
2003-01-03,2003,1,545807,195168,189412,192364,189412
2003-01-04,2003,1,545807,195515,189646,192769,189645
2003-01-05,2003,1,545807,195223,189339,192422,189336
2003-01-06,2003,1,545807,195508,189420,192619,189420
2003-01-07,2003,1,545807,195657,189563,192638,189561
2003-01-08,2003,1,545807,195282,189199,192299,189193
2003-01-09,2003,1,545807,195377,189204,192307,189197
2003-01-10,2003,1,545807,195349,189159,192237,189150
2003-01-11,2003,1,545807,195224,188936,192094,188928
2003-01-12,2003,1,545807,195104,188869,192005,188857
2003-01-13,2003,1,545807,195181,188837,191923,188822
2003-01-14,2003,1,545807,195146,188749,191841,188749
2003-01-15,2003,1,545807,195268,188983,192005,188983
2003-01-16,2003,1,545807,194796,188818,191776,188817
2003-01-17,2003,1,545807,194842,188933,191886,188932
2003-01-18,2003,1,545807,194961,189089,192012,189089
2003-01-19,2003,1,545807,194479,188779,191590,188779
2003-01-20,2003,1,545807,194586,188832,191727,188831
2003-01-21,2003,1,545807,194497,188891,191641,188886
2003-01-22,2003,1,545807,194348,188673,191628,188671
2003-01-23,2003,1,545807,193929,188463,191361,188463
2003-01-24,2003,1,545807,193536,188212,191007,188211
2003-01-25,2003,1,545807,193395,188347,191067,188347
2003-01-26,2003,1,545807,193305,188408,191055,188408
2003-01-27,2003,1,545807,193442,188527,191215,188527
2003-01-28,2003,1,545807,193916,189132,191775,189132
2003-01-29,2003,1,545807,194324,189401,192169,189400
2003-01-30,2003,1,545807,194256,189672,192210,189670
2003-01-31,2003,1,545807,194548,189743,192406,189742
2003-02-01,2003,2,545807,194224,189639,192149,189639
2003-02-02,2003,2,545807,194089,189609,192085,189608
2003-02-03,2003,2,545807,193855,189477,191943,189476
2003-02-04,2003,2,545807,192773,188805,191114,188804
2003-02-05,2003,2,545807,191846,188298,190486,188298
2003-02-06,2003,2,545807,191233,187861,190059,187860
2003-02-07,2003,2,545807,190855,187589,189730,187589
2003-02-08,2003,2,545807,190632,187298,189428,187298
2003-02-09,2003,2,545807,190981,187613,189803,187613
2003-02-10,2003,2,545807,190918,187549,189715,187549
2003-02-11,2003,2,545807,190683,187601,189655,187601
2003-02-12,2003,2,545807,190364,187394,189433,187394
2003-02-13,2003,2,545807,190129,187230,189218,187226
2003-02-14,2003,2,545807,189797,187011,188930,187009
2003-02-15,2003,2,545807,188483,185697,187660,185693
2003-02-16,2003,2,545807,188096,185441,187377,185438
2003-02-17,2003,2,545807,187457,184749,186691,184745
2003-02-18,2003,2,545807,185565,182844,184806,182840
2003-02-19,2003,2,545807,184387,181723,183631,181719
2003-02-20,2003,2,545807,183521,180916,182867,180914
2003-02-21,2003,2,545807,182668,180152,182022,180150
2003-02-22,2003,2,545807,182395,179738,181713,179737
2003-02-23,2003,2,545807,181998,179339,181315,179337
2003-02-24,2003,2,545807,181509,178807,180756,178804
2003-02-25,2003,2,545807,181065,178344,180325,178344
2003-02-26,2003,2,545807,179966,177338,179228,177338
2003-02-27,2003,2,545807,179097,176437,178357,176434
2003-02-28,2003,2,545807,178943,176264,178186,176262
2003-03-01,2003,3,545807,178183,175568,177424,175567
2003-03-02,2003,3,545807,177558,175055,176866,175054
2003-03-03,2003,3,545807,176972,174469,176272,174467
2003-03-04,2003,3,545807,176633,174137,175997,174136
2003-03-05,2003,3,545807,176057,173640,175437,173638
2003-03-06,2003,3,545807,175622,173254,174997,173249
2003-03-07,2003,3,545807,175351,172919,174710,172916
2003-03-08,2003,3,545807,174693,172270,174054,172269
2003-03-09,2003,3,545807,173386,170876,172737,170871
2003-03-10,2003,3,545807,171930,169510,171287,169499
2003-03-11,2003,3,545807,170598,168100,169949,168094
2003-03-12,2003,3,545807,169371,166853,168671,166852
2003-03-13,2003,3,545807,168177,165691,167482,165687
2003-03-14,2003,3,545807,166067,163588,165343,163588
2003-11-15,2004,11,545807,233578,192948,199948,192874
2003-11-16,2004,11,545807,234454,193284,199793,193213
2003-11-17,2004,11,545807,233204,193961,200341,193889
2003-11-18,2004,11,545807,231461,194200,200475,194128
2003-11-19,2004,11,545807,230967,194447,200680,194390
2003-11-20,2004,11,545807,230239,194470,200464,194409
2003-11-21,2004,11,545807,230041,194295,200421,194242
2003-11-22,2004,11,545807,229717,194158,200494,194093
2003-11-23,2004,11,545807,229381,194003,200254,193931
2003-11-24,2004,11,545807,229286,193831,200211,193784
2003-11-25,2004,11,545807,229448,193849,200233,193793
2003-11-26,2004,11,545807,229531,194315,200509,194254
2003-11-27,2004,11,545807,229664,194261,200562,194208
2003-11-28,2004,11,545807,230161,194401,200639,194340
2003-11-29,2004,11,545807,230130,194468,200722,194412
2003-11-30,2004,11,545807,229806,194857,200770,194792
2003-12-01,2004,12,545807,229458,194846,200686,194790
2003-12-02,2004,12,545807,228335,194802,200457,194713
2003-12-03,2004,12,545807,226952,194558,199799,194463
2003-12-04,2004,12,545807,223562,194359,198919,194266
2003-12-05,2004,12,545807,218220,193709,197529,193602
2003-12-06,2004,12,545807,213832,193275,196580,193160
2003-12-07,2004,12,545807,210510,193121,196049,193029
2003-12-08,2004,12,545807,208386,193264,196055,193171
2003-12-09,2004,12,545807,204842,193056,195718,192965
2003-12-10,2004,12,545807,203067,192587,195090,192467
2003-12-11,2004,12,545807,203241,193124,195598,193027
2003-12-12,2004,12,545807,203111,192850,195417,192748
2003-12-13,2004,12,545807,203102,193080,195630,192987
2003-12-14,2004,12,545807,203251,193106,195637,193022
2003-12-15,2004,12,545807,203346,193139,195713,193056
2003-12-16,2004,12,545807,203577,193369,195886,193286
2003-12-17,2004,12,545807,203866,193643,196185,193560
2003-12-18,2004,12,545807,203619,193556,196053,193468
2003-12-19,2004,12,545807,203717,193578,196091,193490
2003-12-20,2004,12,545807,203795,193771,196225,193659
2003-12-21,2004,12,545807,203549,193525,195792,193416
2003-12-22,2004,12,545807,203386,193550,195812,193455
2003-12-23,2004,12,545807,203506,193630,195937,193529
2003-12-24,2004,12,545807,203539,193930,196389,193824
2003-12-25,2004,12,545807,204162,194381,196908,194293
2003-12-26,2004,12,545807,204167,194532,196987,194426
2003-12-27,2004,12,545807,203743,194370,196694,194276
2003-12-28,2004,12,545807,204197,194713,196925,194611
2003-12-29,2004,12,545807,203862,194697,196831,194594
2003-12-30,2004,12,545807,203654,194450,196546,194356
2003-12-31,2004,12,545807,203137,194270,196273,194162
2004-01-01,2004,1,545807,202401,193746,195742,193659
2004-01-02,2004,1,545807,201859,193698,195800,193651
2004-01-03,2004,1,545807,201069,193539,195495,193494
2004-01-04,2004,1,545807,200634,193504,195431,193472
2004-01-05,2004,1,545807,200081,193451,195443,193397
2004-01-06,2004,1,545807,199889,193382,195381,193330
2004-01-07,2004,1,545807,198851,192947,194971,192886
2004-01-08,2004,1,545807,198719,193354,195281,193301
2004-01-09,2004,1,545807,198736,193344,195324,193266
2004-01-10,2004,1,545807,198574,193375,195375,193303
2004-01-11,2004,1,545807,198133,193122,195091,193043
2004-01-12,2004,1,545807,197611,192672,194619,192578
2004-01-13,2004,1,545807,197336,192580,194579,192506
2004-01-14,2004,1,545807,197155,192517,194409,192437
2004-01-15,2004,1,545807,196958,192379,194378,192295
2004-01-16,2004,1,545807,196810,192417,194430,192338
2004-01-17,2004,1,545807,196390,192231,194124,192132
2004-01-18,2004,1,545807,195815,191706,193652,191626
2004-01-19,2004,1,545807,195467,191607,193595,191533
2004-01-20,2004,1,545807,194734,191277,193237,191194
2004-01-21,2004,1,545807,193624,190489,192233,190409
2004-01-22,2004,1,545807,193299,190317,192102,190245
2004-01-23,2004,1,545807,193019,190021,191756,189947
2004-01-24,2004,1,545807,192949,189847,191679,189781
2004-01-25,2004,1,545807,192823,189832,191671,189753
2004-01-26,2004,1,545807,192297,189493,191254,189418
2004-01-27,2004,1,545807,191704,189138,190803,189059
2004-01-28,2004,1,545807,191169,188798,190364,188724
2004-01-29,2004,1,545807,190799,188468,190047,188389
2004-01-30,2004,1,545807,190540,188262,189821,188171
2004-01-31,2004,1,545807,190369,188128,189626,188048
2004-02-01,2004,2,545807,189959,187667,189201,187580
2004-02-02,2004,2,545807,189925,187562,189052,187473
2004-02-03,2004,2,545807,189681,187429,188882,187305
2004-02-04,2004,2,545807,188699,186616,188024,186508
2004-02-05,2004,2,545807,188422,186455,187816,186349
2004-02-06,2004,2,545807,187660,185853,187170,185752
2004-02-07,2004,2,545807,187266,185488,186815,185375
2004-02-08,2004,2,545807,186357,184791,186010,184695
2004-02-09,2004,2,545807,186278,184763,185941,184674
2004-02-10,2004,2,545807,185453,184001,185158,183923
2004-02-11,2004,2,545807,184728,183251,184393,183132
2004-02-12,2004,2,545807,183963,182555,183653,182449
2004-02-13,2004,2,545807,183070,181642,182733,181550
2004-02-14,2004,2,545807,182261,180823,181882,180725
2004-02-15,2004,2,545807,181974,180505,181562,180412
2004-02-16,2004,2,545807,181621,180057,181173,179982
2004-02-17,2004,2,545807,181081,179493,180581,179396
2004-02-18,2004,2,545807,180791,179227,180292,179143
2004-02-19,2004,2,545807,180686,179150,180162,179055
2004-02-20,2004,2,545807,180326,178897,179878,178809
2004-02-21,2004,2,545807,179742,178337,179320,178251
2004-02-22,2004,2,545807,179273,177882,178809,177811
2004-02-23,2004,2,545807,178613,177271,178191,177199
2004-02-24,2004,2,545807,178380,177023,177926,176948
2004-02-25,2004,2,545807,177933,176572,177472,176499
2004-02-26,2004,2,545807,177752,176262,177243,176176
2004-02-27,2004,2,545807,177763,176421,177328,176354
2004-02-28,2004,2,545807,177594,176104,177062,176031
2004-02-29,2004,2,545807,177412,175871,176883,175801
2004-03-01,2004,3,545807,177265,175787,176750,175711
2004-03-02,2004,3,545807,177410,175904,176851,175815
2004-03-03,2004,3,545807,177221,175750,176712,175685
2004-03-04,2004,3,545807,176772,175358,176244,175276
2004-03-05,2004,3,545807,176207,174830,175687,174760
2004-03-06,2004,3,545807,176256,174838,175711,174775
2004-03-07,2004,3,545807,175938,174603,175398,174552
2004-03-08,2004,3,545807,176137,174661,175516,174601
2004-03-09,2004,3,545807,175698,174213,175104,174159
2004-03-10,2004,3,545807,175716,174266,175082,174208
2004-03-11,2004,3,545807,175309,173881,174722,173845
2004-03-12,2004,3,545807,175343,173744,174651,173710
2004-03-13,2004,3,545807,175385,173785,174678,173762
2004-03-14,2004,3,545807,175116,173548,174407,173525
2004-11-15,2005,11,545807,270036,196688,206634,196618
2004-11-16,2005,11,545807,272216,196791,206970,196743
2004-11-17,2005,11,545807,272765,196964,206938,196907
2004-11-18,2005,11,545807,275202,196826,206806,196772
2004-11-19,2005,11,545807,279020,197249,207174,197179
2004-11-20,2005,11,545807,280123,197404,207347,197342
2004-11-21,2005,11,545807,280972,197115,206885,197057
2004-11-22,2005,11,545807,282557,196716,206435,196649
2004-11-23,2005,11,545807,284794,197173,206582,197110
2004-11-24,2005,11,545807,284514,196916,206478,196844
2004-11-25,2005,11,545807,282180,197069,206434,197006
2004-11-26,2005,11,545807,281181,196088,205375,196035
2004-11-27,2005,11,545807,280927,196399,205647,196327
2004-11-28,2005,11,545807,282748,197043,206011,196984
2004-11-29,2005,11,545807,282227,197211,205972,197133
2004-11-30,2005,11,545807,279388,197386,205414,197308
2004-12-01,2005,12,545807,273121,197103,204607,197031
2004-12-02,2005,12,545807,266673,197594,205132,197516
2004-12-03,2005,12,545807,260887,197505,204861,197423
2004-12-04,2005,12,545807,254117,197413,204224,197343
2004-12-05,2005,12,545807,246308,197057,203201,196978
2004-12-06,2005,12,545807,239717,197188,202900,197129
2004-12-07,2005,12,545807,234094,197391,202705,197329
2004-12-08,2005,12,545807,229402,197290,202297,197211
2004-12-09,2005,12,545807,227840,197473,202445,197395
2004-12-10,2005,12,545807,226651,197512,202213,197422
2004-12-11,2005,12,545807,226070,197756,202233,197664
2004-12-12,2005,12,545807,225102,198351,202648,198255
2004-12-13,2005,12,545807,223903,198325,202535,198219
2004-12-14,2005,12,545807,223426,198502,202708,198404
2004-12-15,2005,12,545807,222506,197858,201998,197762
2004-12-16,2005,12,545807,221999,197691,201538,197591
2004-12-17,2005,12,545807,221415,197056,200933,196955
2004-12-18,2005,12,545807,221713,197391,201278,197279
2004-12-19,2005,12,545807,222268,197150,200624,197031
2004-12-20,2005,12,545807,219981,196586,199730,196461
2004-12-21,2005,12,545807,215173,196235,199225,196141
2004-12-22,2005,12,545807,213515,195799,198750,195708
2004-12-23,2005,12,545807,212363,195134,197999,195056
2004-12-24,2005,12,545807,210957,195094,197689,195016
2004-12-25,2005,12,545807,209579,195371,197814,195270
2004-12-26,2005,12,545807,209117,195818,198220,195740
2004-12-27,2005,12,545807,208539,195556,197925,195473
2004-12-28,2005,12,545807,206983,195251,197467,195159
2004-12-29,2005,12,545807,206102,195254,197401,195181
2004-12-30,2005,12,545807,206241,195612,197769,195533
2004-12-31,2005,12,545807,206196,195606,197650,195544
2005-01-01,2005,1,545807,205999,195810,197736,195750
2005-01-02,2005,1,545807,205442,195542,197442,195499
2005-01-03,2005,1,545807,205078,195639,197550,195588
2005-01-04,2005,1,545807,204952,195917,197673,195871
2005-01-05,2005,1,545807,204453,195639,197476,195598
2005-01-06,2005,1,545807,204221,195915,197676,195850
2005-01-07,2005,1,545807,203411,195640,197363,195551
2005-01-08,2005,1,545807,203147,195933,197552,195848
2005-01-09,2005,1,545807,202532,195396,197051,195299
2005-01-10,2005,1,545807,201865,195132,196662,195051
2005-01-11,2005,1,545807,201065,194600,196077,194495
2005-01-12,2005,1,545807,200218,193937,195369,193845
2005-01-13,2005,1,545807,199177,192982,194403,192881
2005-01-14,2005,1,545807,198758,193134,194471,193029
2005-01-15,2005,1,545807,198035,192600,193896,192507
2005-01-16,2005,1,545807,197548,192010,193431,191945
2005-01-17,2005,1,545807,197102,191611,193003,191526
2005-01-18,2005,1,545807,196411,191041,192356,190965
2005-01-19,2005,1,545807,195791,190575,191953,190504
2005-01-20,2005,1,545807,195161,190257,191642,190179
2005-01-21,2005,1,545807,195364,190534,191932,190460
2005-01-22,2005,1,545807,195388,190651,192069,190578
2005-01-23,2005,1,545807,194697,189954,191376,189892
2005-01-24,2005,1,545807,194230,189630,190958,189557
2005-01-25,2005,1,545807,193943,189663,190840,189590
2005-01-26,2005,1,545807,193429,189411,190489,189340
2005-01-27,2005,1,545807,193023,189308,190333,189218
2005-01-28,2005,1,545807,193015,189489,190456,189413
2005-01-29,2005,1,545807,192591,189048,190050,188969
2005-01-30,2005,1,545807,192650,189090,190110,188984
2005-01-31,2005,1,545807,192240,188837,189856,188763
2005-02-01,2005,2,545807,191756,188327,189499,188243
2005-02-02,2005,2,545807,191193,187862,189087,187801
2005-02-03,2005,2,545807,190941,187656,188811,187578
2005-02-04,2005,2,545807,190529,187275,188428,187205
2005-02-05,2005,2,545807,190271,187056,188192,186993
2005-02-06,2005,2,545807,189999,186771,187849,186726
2005-02-07,2005,2,545807,189642,186305,187337,186234
2005-02-08,2005,2,545807,189331,185960,186991,185908
2005-02-09,2005,2,545807,188649,185519,186489,185465
2005-02-10,2005,2,545807,188590,185338,186319,185277
2005-02-11,2005,2,545807,188033,184991,185778,184947
2005-02-12,2005,2,545807,187087,184196,184895,184139
2005-02-13,2005,2,545807,186535,183674,184432,183618
2005-02-14,2005,2,545807,185897,183244,183958,183203
2005-02-15,2005,2,545807,185620,182891,183632,182844
2005-02-16,2005,2,545807,185319,182666,183426,182614
2005-02-17,2005,2,545807,185128,182511,183259,182454
2005-02-18,2005,2,545807,184544,182041,182687,181989
2005-02-19,2005,2,545807,183390,180958,181544,180896
2005-02-20,2005,2,545807,182016,179779,180307,179717
2005-02-21,2005,2,545807,180881,178792,179326,178741
2005-02-22,2005,2,545807,179574,177700,178170,177645
2005-02-23,2005,2,545807,179079,177246,177691,177218
2005-02-24,2005,2,545807,178553,176728,177169,176727
2005-02-25,2005,2,545807,176372,175013,175394,175013
2005-02-26,2005,2,545807,174669,173860,174117,173860
2005-02-27,2005,2,545807,173945,173320,173534,173318
2005-02-28,2005,2,545807,173254,172776,172982,172768
2005-03-01,2005,3,545807,172867,172412,172626,172406
2005-03-02,2005,3,545807,172279,171875,172087,171870
2005-03-03,2005,3,545807,172015,171607,171810,171602
2005-03-04,2005,3,545807,171678,171316,171533,171312
2005-03-05,2005,3,545807,171417,171007,171230,170992
2005-03-06,2005,3,545807,170826,170440,170663,170440
2005-03-07,2005,3,545807,170152,169777,170011,169777
2005-03-08,2005,3,545807,169664,169275,169522,169271
2005-03-09,2005,3,545807,169445,169057,169287,169054
2005-03-10,2005,3,545807,168344,167985,168201,167985
2005-03-11,2005,3,545807,167640,167318,167508,167318
2005-03-12,2005,3,545807,166294,165951,166157,165951
2005-03-13,2005,3,545807,164446,164117,164300,164113
2005-03-14,2005,3,545807,163349,162989,163192,162987
2005-11-15,2006,11,545807,241088,195001,205294,194947
2005-11-16,2006,11,545807,241065,194967,205036,194919
2005-11-17,2006,11,545807,241194,195327,205379,195286
2005-11-18,2006,11,545807,242402,195578,205827,195534
2005-11-19,2006,11,545807,242120,195596,205837,195552
2005-11-20,2006,11,545807,241140,194923,205168,194874
2005-11-21,2006,11,545807,240746,194940,205226,194892
2005-11-22,2006,11,545807,241494,195013,205333,194979
2005-11-23,2006,11,545807,241584,194961,205089,194927
2005-11-24,2006,11,545807,240928,194943,205119,194908
2005-11-25,2006,11,545807,239999,194378,204530,194329
2005-11-26,2006,11,545807,241269,194549,204662,194514
2005-11-27,2006,11,545807,242928,194988,205403,194955
2005-11-28,2006,11,545807,238764,195419,205543,195380
2005-11-29,2006,11,545807,236166,195286,204289,195252
2005-11-30,2006,11,545807,233057,195143,203358,195087
2005-12-01,2006,12,545807,231429,195248,203010,195188
2005-12-02,2006,12,545807,230023,195113,202956,195061
2005-12-03,2006,12,545807,230902,196171,204265,196114
2005-12-04,2006,12,545807,234100,197035,204927,196983
2005-12-05,2006,12,545807,237694,197483,205640,197411
2005-12-06,2006,12,545807,243616,198691,206980,198599
2005-12-07,2006,12,545807,246136,198294,206288,198200
2005-12-08,2006,12,545807,247601,198109,206064,198014
2005-12-09,2006,12,545807,249586,198745,206624,198644
2005-12-10,2006,12,545807,250434,199102,207222,199008
2005-12-11,2006,12,545807,249953,199033,206985,198935
2005-12-12,2006,12,545807,246362,199076,207062,198965
2005-12-13,2006,12,545807,232724,198531,205929,198439
2005-12-14,2006,12,545807,227962,198105,205249,198000
2005-12-15,2006,12,545807,227935,198068,205309,197963
2005-12-16,2006,12,545807,227961,198216,205349,198113
2005-12-17,2006,12,545807,228288,198171,205220,198067
2005-12-18,2006,12,545807,228897,198442,205540,198334
2005-12-19,2006,12,545807,229598,199014,206178,198928
2005-12-20,2006,12,545807,229371,199181,206539,199096
2005-12-21,2006,12,545807,229740,199507,206889,199423
2005-12-22,2006,12,545807,229793,199305,206606,199227
2005-12-23,2006,12,545807,229805,199214,206473,199130
2005-12-24,2006,12,545807,230515,199142,206458,199061
2005-12-25,2006,12,545807,230963,198389,205677,198305
2005-12-26,2006,12,545807,232306,198800,206366,198724
2005-12-27,2006,12,545807,232341,198957,206596,198873
2005-12-28,2006,12,545807,231941,198958,206572,198863
2005-12-29,2006,12,545807,231646,199364,206725,199274
2005-12-30,2006,12,545807,232226,199714,207214,199619
2005-12-31,2006,12,545807,231994,199883,207458,199792
2006-01-01,2006,1,545807,230770,199241,206686,199156
2006-01-02,2006,1,545807,229997,199672,207085,199599
2006-01-03,2006,1,545807,228284,199665,206996,199592
2006-01-04,2006,1,545807,226760,199733,206992,199650
2006-01-05,2006,1,545807,225272,199808,206950,199730
2006-01-06,2006,1,545807,224951,200149,207178,200075
2006-01-07,2006,1,545807,224605,199695,206672,199619
2006-01-08,2006,1,545807,223964,199518,206521,199444
2006-01-09,2006,1,545807,222608,199744,206788,199679
