population,n,disp_mean_km,disp_p5_km,disp_p25_km,disp_p50_km,disp_p75_km,disp_p95_km,path_mean_km,path_p5_km,path_p25_km,path_p50_km,path_p75_km,path_p95_km,straightness
at_advance (success + M5a + M5b),523773649,308.7,35.5,112.5,223.5,413.5,897.5,717.5,133.5,316.5,561.5,959.5,1840.5,0.4
success,110417165,206.6,24.5,75.5,153.5,272.5,574.5,526.5,150.5,284.5,440.5,669.5,1188.5,0.4
censored,27221228,677.5,126.5,344.5,587.5,960.5,1473.5,1597.4,585.5,1014.5,1521.5,2078.5,2901.5,0.4
killed_M1,595485067,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,
killed_M4,134504220,88.1,6.5,21.5,47.5,108.5,320.5,136.7,11.5,30.5,72.5,192.5,466.5,0.6
killed_M5_no_FIV,131306367,184.4,24.5,71.5,138.5,249.5,509.5,348.9,79.5,177.5,296.5,468.5,794.5,0.5
killed_M5_not_on_shelf,282050117,406.6,68.5,178.5,318.5,546.5,1060.5,963.9,242.5,520.5,833.5,1296.5,2100.5,0.4
killed_M6_no_advance,803211965,1233.3,229.5,778.5,1262.5,1652.5,2222.5,2691.9,818.5,1842.5,2675.5,3583.5,4460.5,0.5
exited_domain,16069207,1727.3,914.5,1471.5,1779.5,1904.5,2524.5,3168.6,1934.5,2697.5,3232.5,3713.5,4390.5,0.5
