"# F5 (fate positions): per-fate breakdown by CCAMLR subarea (within-outcome %, rows sum to 100)"
Outcome,48.1,48.2,48.3,48.4,48.5,48.6N,48.6S,88.3,outside
Recruitment success,23.66,47.89,0.01,14.59,0.37,0.66,3.07,9.38,0.38
No winter ice (M6),0.51,5.97,9.54,14.41,0.00,40.95,0.10,0.14,28.38
Off-shelf (M5b),4.19,48.71,0.71,26.58,0.25,8.96,7.13,2.21,1.26
Under-developed (M5a),10.78,17.87,0.00,3.15,8.94,0.00,47.21,11.52,0.53
Calyptopis starvation (M4),7.88,8.96,0.00,1.35,27.82,0.09,46.56,6.96,0.39
Ice at spawning (M1),3.19,6.47,0.00,2.77,56.79,0.14,18.78,11.82,0.04
Domain exit,0.16,0.07,0.01,0.00,1.01,0.00,0.00,0.00,98.75
