"# F4 (release positions): per-fate breakdown by CCAMLR subarea (within-outcome %, rows sum to 100)"
Outcome,48.1,48.2,48.3,48.4,48.5,48.6N,48.6S,88.3,outside
Recruitment success,27.55,47.03,0.00,9.81,0.51,0.51,3.19,11.37,0.03
No winter ice (M6),6.83,8.21,42.33,3.96,0.00,37.54,0.01,0.85,0.27
Off-shelf (M5b),20.31,42.88,0.97,24.52,0.13,2.45,5.75,2.98,0.00
Under-developed (M5a),12.37,16.42,0.00,1.97,5.38,0.00,51.89,11.85,0.11
Calyptope starvation (M4),7.41,9.03,0.00,1.26,25.26,0.09,49.61,7.21,0.14
Ice at spawning (M1),3.19,6.47,0.00,2.77,56.79,0.14,18.78,11.82,0.04
Domain exit,0.38,0.05,23.70,0.00,2.49,71.60,0.14,0.36,1.29
